,community
1831,11
1832,11
1833,11
1834,2
1835,2
1836,2
1837,2
1838,2
1839,2
1840,5
1841,3
1842,2
1843,2
1844,2
1845,2
1846,2
1847,2
1848,2
1849,2
1850,2
1851,2
1852,2
1853,2
1854,20
1855,20
1856,20
1857,20
1858,20
1859,11
1860,13
1861,13
1862,3
1863,3
1864,3
1865,2
1866,3
1867,1
1868,1
1869,1
1870,1
1871,1
1872,3
1873,9
1874,3
1875,3
1876,3
1877,3
1878,2
1879,2
1880,9
1881,2
1882,13
1883,11
1884,13
1885,13
1886,4
1887,0
1888,0
1889,0
1890,0
1891,0
1892,18
1893,18
1894,18
1895,18
1896,18
1897,18
1898,18
1899,24
1900,24
1901,24
1902,24
1903,24
1904,24
1905,24
1906,24
1907,5
1908,5
1909,4
1910,5
1911,5
1912,17
1913,5
1914,5
1915,4
1916,4
1917,17
1918,17
1919,17
1920,17
1921,17
1922,17
1923,9
1924,9
1925,9
1926,9
1927,9
1928,9
1929,12
1930,12
1931,9
1932,12
1933,12
1934,12
1935,12
1936,12
1937,12
1938,12
1939,24
1940,12
1941,12
1942,12
1943,12
1944,12
1945,12
1946,14
1947,17
1948,6
1949,5
1950,6
1951,11
1952,11
1953,11
1954,1
1955,1
1956,1
1957,1
1958,17
1959,9
1960,17
1961,17
1962,17
1963,0
1964,0
1965,0
1966,15
1967,15
1968,15
1969,15
1970,24
1971,24
1972,24
1973,24
1974,24
1975,24
1976,24
1977,24
1978,14
1979,14
1980,14
1981,14
1982,14
1983,17
1984,17
1985,17
1986,17
1987,17
1988,17
1989,17
1990,25
1991,25
1992,25
1993,25
1994,25
1995,25
1996,25
1997,25
1998,25
1999,16
